Cluster ID,confidence_score,,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_fn,canonical_gn
45,,87,GRIFFIN JR,07/10/37,M,DARH,,,,
46,,88,GRIFFIN JR,10/07/37,M,DARL,,,,
47,,89,GRIFFIN JR,07/05/37,M,DARL,,,,
25,0.89905118942260742,90,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
25,0.89905118942260742,91,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
25,0.89905118942260742,92,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
48,,93,GRIFFIN JR,07/05/37,M,CLARENCE,,,,
26,0.89905118942260742,94,HANNA,24/11/34,M,ADDISON J,HANNA,24/11/34,ADDISON,M
49,,95,HANNA,24/11/34,M,ADDISON JOHN,,,,
26,0.89905118942260742,96,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
26,0.89905118942260742,97,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
26,0.89905118942260742,98,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
50,,99,GALETICH JR,15/10/32,M,ADDISON,,,,
27,0.79331517219543457,100,FUNARO JONES,06/12/37,F,HARRIET,FUNARO J,06/12/37,HARRIET,F
27,0.79331517219543457,101,FUNARO J,06/12/37,F,HARRIET,FUNARO J,06/12/37,HARRIET,F
27,0.79331517219543457,102,FUNARO,06/12/37,F,HARRIET,FUNARO J,06/12/37,HARRIET,F
