Cluster ID,confidence_score,,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_fn,canonical_gn
21,1.0,82,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
21,1.0,83,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
23,1.0,84,FAGEN JR,07/10/37,M,HAROLD,FAGEN JR,07/10/37,HAROLD,M
23,1.0,85,FAGEN JR,07/10/37,M,HAROLD,FAGEN JR,07/10/37,HAROLD,M
46,,86,FAGEN JR,07/10/37,M,GEORGE,,,,
47,,87,GRIFFIN JR,07/10/37,M,DARH,,,,
48,,88,GRIFFIN JR,10/07/37,M,DARL,,,,
49,,89,GRIFFIN JR,07/05/37,M,DARL,,,,
24,1.0,90,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
24,1.0,91,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
24,1.0,92,GRIFFIN JR,07/05/37,M,CLIFFORD,GRIFFIN JR,07/05/37,CLIFFORD,M
50,,93,GRIFFIN JR,07/05/37,M,CLARENCE,,,,
25,1.0,94,HANNA,24/11/34,M,ADDISON J,HANNA,24/11/34,ADDISON,M
51,,95,HANNA,24/11/34,M,ADDISON JOHN,,,,
25,1.0,96,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
25,1.0,97,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
25,1.0,98,HANNA,24/11/34,M,ADDISON,HANNA,24/11/34,ADDISON,M
52,,99,GALETICH JR,15/10/32,M,ADDISON,,,,
53,,100,FUNARO JONES,06/12/37,F,HARRIET,,,,
26,1.0,101,FUNARO J,06/12/37,F,HARRIET,FUNARO J,06/12/37,HARRIET,F
26,1.0,102,FUNARO,06/12/37,F,HARRIET,FUNARO J,06/12/37,HARRIET,F
